candidate_id,anchor_id,anchor,priority_rank,surface_form,normalized_form,normalized_concept,concept_id,concept_definition,lexical_form_id,lexical_family,family_id,layer,primary_voice,expression_mode,candidate_provenance,ngram_measurement_id,ngram_measurement_form,ngram_mapping_type,ngram_query_id,ngram_mapping_reason,source_report,source_page,provenance_status
FT-SEED-R1B-P-1842-11,FT-A1842,1842,11,wet bulb thermometer,wet bulb thermometer,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-6ED65D7528DC,temperature_threshold,FT-F01,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-11; original visible ID not available",FT-NGM-6ED65D7528DC1F,wet bulb thermometer,EXACT,FT-Q-V01-011,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-12,FT-A1842,1842,12,meteorological observations,meteorological observations,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-503E96757F1B,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-12; original visible ID not available",FT-NGM-503E96757F1B22,meteorological observations,EXACT,FT-Q-V01-012,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-13,FT-A1842,1842,13,meteorological journal,meteorological journal,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-75CD74B4B7CB,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-13; original visible ID not available",FT-NGM-75CD74B4B7CB3C,meteorological journal,EXACT,FT-Q-V01-013,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-14,FT-A1842,1842,14,weather,weather,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-E5E72BEB4E3C,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-14; original visible ID not available",FT-NGM-E5E72BEB4E3C69,weather,EXACT,FT-Q-V01-014,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-15,FT-A1842,1842,15,climate,climate,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-CLIMATE,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-15; original visible ID not available",FT-NGM-10DB699812D02C,climate,EXACT,FT-Q-V01-015,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-16,FT-A1842,1842,16,sun's heat,sun's heat,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-Q-888F8647F9E3,heat,FT-F02,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-16; original visible ID not available",FT-NGM-888F8647F9E3D6,sun's heat,EXACT,FT-Q-V01-016,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-17,FT-A1842,1842,17,radiation of the heat,radiation of the heat,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-Q-ABBCAC484C11,heat,FT-F02,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-17; original visible ID not available",FT-NGM-ABBCAC484C1113,radiation of the heat,EXACT,FT-Q-V01-017,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-18,FT-A1842,1842,18,changes of temperature,changes of temperature,local / instrumental temperature,FT-C-LOCAL_INSTRUMENTAL_TEMPERATURE,A local or instrument-specific temperature reading.,FT-LF-Q-69A8DD45B417,temperature_threshold,FT-F01,A,V2,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-18; original visible ID not available",FT-NGM-69A8DD45B4175B,changes of temperature,EXACT,FT-Q-V01-018,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-19,FT-A1842,1842,19,excessive heat,excessive heat,extreme-heat hazard,FT-C-EXTREME_HEAT_HAZARD,Extreme heat framed as a hazard with health or social consequences.,FT-LF-Q-DDC4ABE24429,heat,FT-F02,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-19; original visible ID not available",FT-NGM-DDC4ABE244296C,excessive heat,EXACT,FT-Q-V01-019,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-20,FT-A1842,1842,20,heat of the men,heat of the men,embodied heat exposure,FT-C-EMBODIED_HEAT_EXPOSURE,"Heat experienced by bodies in occupational, domestic, or environmental settings.",FT-LF-Q-92253C59509B,heat,FT-F02,A,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-20; original visible ID not available",FT-NGM-92253C59509B67,heat of the men,EXACT,FT-Q-V01-020,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-21,FT-A1842,1842,21,heat of the irons,heat of the irons,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-Q-C039DD9FEFF1,heat,FT-F02,A,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-21; original visible ID not available",FT-NGM-C039DD9FEFF160,heat of the irons,EXACT,FT-Q-V01-138,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-22,FT-A1842,1842,22,most suffocating,most suffocating,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-P180-0ADBD74AEAD0,harm_loss_consequences,FT-F14,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-22; original visible ID not available",FT-NGM-0ADBD74AEAD072,most suffocating,EXACT,FT-Q-P180-FC9FF7E38391,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-23,FT-A1842,1842,23,faint away,faint away,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-P180-905BBA36B8F3,harm_loss_consequences,FT-F14,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-23; original visible ID not available",FT-NGM-905BBA36B8F3D6,faint away,EXACT,FT-Q-P180-C155052E7DB4,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-24,FT-A1842,1842,24,perspiration,perspiration,generic damage,FT-C-GENERIC_DAMAGE,"Generic material, ecological, or social damage.",FT-LF-P180-409310A012E9,harm_loss_consequences,FT-F14,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-24; original visible ID not available",FT-NGM-409310A012E916,perspiration,EXACT,FT-Q-P180-EC2B3513EBA6,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-25,FT-A1842,1842,25,depressing effect,depressing effect,historical depressing effect,FT-C-HISTORICAL_DEPRESSING_EFFECT,Historical bodily or energetic depressing effect; false friend with modern clinical depression.,FT-LF-DEPRESSING_EFFECT,distress_depression,FT-F10,C,V5,E3,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-25; original visible ID not available",FT-NGM-DF1440142C9B14,depressing effect,EXACT,FT-Q-P180-F133E24539FD,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-26,FT-A1842,1842,26,complain of the heat,complain of the heat,embodied heat exposure,FT-C-EMBODIED_HEAT_EXPOSURE,"Heat experienced by bodies in occupational, domestic, or environmental settings.",FT-LF-P180-176C5BBBA97D,heat,FT-F02,C,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-26; original visible ID not available",FT-NGM-176C5BBBA97DFF,complain of the heat,EXACT,FT-Q-P180-CA3666E569CE,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-27,FT-A1842,1842,27,premature heat of the weather,premature heat of the weather,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-P180-E045339B57CA,heat,FT-F02,A,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-27; original visible ID not available",FT-NGM-E045339B57CA43,premature heat of the weather,EXACT,FT-Q-P180-616B2876E3C5,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-28,FT-A1842,1842,28,suffered more from cold than from heat,suffered more from cold than from heat,physical heat source / state,FT-C-PHYSICAL_HEAT_STATE,"Heat as a physical source, state, or thermal condition.",FT-LF-P180-1E6F47D372F6,heat,FT-F02,D,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-28; original visible ID not available",FT-NGM-1E6F47D372F694,suffered more from cold than from heat,EXACT,FT-Q-P180-FF18DD3754C6,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-29,FT-A1842,1842,29,sickness and mortality,sickness and mortality,mortality,FT-C-MORTALITY,Death or mortality attributed to heat or climate consequences.,FT-LF-P180-F101AFA2C02D,harm_loss_consequences,FT-F14,D,V2,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-29; original visible ID not available",FT-NGM-F101AFA2C02D81,sickness and mortality,EXACT,FT-Q-P180-7E32BFDE7A55,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1842-30,FT-A1842,1842,30,alarm to the public,alarm to the public,public alarm,FT-C-PUBLIC_ALARM,"Alarm attributed to or anticipated for a public, requiring direct evidence and sense review.",FT-LF-P180-FA018EBCB86B,concern_alarm,FT-F06,C,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-30; original visible ID not available",FT-NGM-FA018EBCB86B9D,alarm to the public,EXACT,FT-Q-P180-668E6FC2A222,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-01,FT-A1938,1938,1,artificial production of carbon dioxide,artificial production of carbon dioxide,anthropogenic carbon-dioxide production,FT-C-ANTHROPOGENIC_CARBON_DIOXIDE_PRODUCTION,Human production of carbon dioxide as a climatic cause.,FT-LF-Q-3036331B910B,carbon_greenhouse,FT-F05,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-01; original visible ID not available",FT-NGM-3036331B910B28,artificial production of carbon dioxide,EXACT,FT-Q-V01-021,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-02,FT-A1938,1938,2,carbon dioxide,carbon dioxide,atmospheric carbon dioxide,FT-C-ATMOSPHERIC_CARBON_DIOXIDE,Carbon dioxide as an atmospheric constituent.,FT-LF-Q-DDF74783A656,carbon_greenhouse,FT-F05,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-02; original visible ID not available",FT-NGM-DDF74783A6568C,carbon dioxide,EXACT,FT-Q-V01-022,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-03,FT-A1938,1938,3,fuel combustion,fuel combustion,anthropogenic carbon-dioxide production,FT-C-ANTHROPOGENIC_CARBON_DIOXIDE_PRODUCTION,Human production of carbon dioxide as a climatic cause.,FT-LF-Q-7C26181F8501,carbon_greenhouse,FT-F05,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-03; original visible ID not available",FT-NGM-7C26181F850166,fuel combustion,EXACT,FT-Q-V01-023,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-04,FT-A1938,1938,4,air,air,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-9FE430E52746,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-04; original visible ID not available",FT-NGM-9FE430E5274621,air,EXACT,FT-Q-V01-024,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-SEED-R1B-P-1938-05,FT-A1938,1938,5,atmosphere,atmosphere,historical climate / climatological condition,FT-C-HISTORICAL_CLIMATE_CONDITION,"Climate as a historical, geographical, seasonal, or climatological condition.",FT-LF-Q-BFD5A8ED7357,climate,FT-F04,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-05; original visible ID not available",FT-NGM-BFD5A8ED7357EC,atmosphere,EXACT,FT-Q-V01-025,Candidate surface form is directly representable in the public Ngram interface.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
