normalized_lexical_form,1842,1842_candidate_ids,1938,1938_candidate_ids,1988,1988_candidate_ids,2006–2007,2006–2007_candidate_ids,2015,2015_candidate_ids,2022,2022_candidate_ids,candidate_ids,primary_layers,voices
extreme events,0,,0,,1,FT-SEED-R1B-P-1988-11,0,,0,,0,,FT-SEED-R1B-P-1988-11,D,V1
extreme weather events,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-15,0,,FT-SEED-R1B-P-2015-15,D,V2
faint away,1,FT-SEED-R1B-P-1842-23,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-23,D,V5
frustrated,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-10,FT-SEED-R1B-P-2022-10,C,V5
fuel combustion,0,,1,FT-SEED-R1B-P-1938-03,0,,0,,0,,0,,FT-SEED-R1B-P-1938-03,B,V1
global average air and ocean temperatures,0,,0,,0,,1,FT-SEED-R1B-P-0607-03,0,,0,,FT-SEED-R1B-P-0607-03,A,V1
global average temperature,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-03,0,,FT-SEED-R1B-P-2015-03,A,V2
global climate models,0,,0,,1,FT-SEED-R1B-P-1988-12,0,,0,,0,,FT-SEED-R1B-P-1988-12,B,V1
global observations,0,,0,,1,FT-SEED-R1B-P-1988-13,0,,0,,0,,FT-SEED-R1B-P-1988-13,B,V1
global security,0,,0,,1,FT-SEED-R1B-P-1988-16,0,,0,,0,,FT-SEED-R1B-P-1988-16,D,V2
global surface temperature,0,,0,,0,,1,FT-SEED-R1B-P-0607-04,0,,0,,FT-SEED-R1B-P-0607-04,A,V1
global temperature,0,,0,,1,FT-SEED-R1B-P-1988-06,0,,0,,0,,FT-SEED-R1B-P-1988-06,A,V1
global warming,0,,0,,1,FT-SEED-R1B-P-1988-02,1,FT-SEED-R1B-P-0607-11,0,,1,FT-SEED-R1B-P-2022-02,FT-SEED-R1B-P-1988-02; FT-SEED-R1B-P-0607-11; FT-SEED-R1B-P-2022-02,A,V1; V3; V5
global warming has begun,0,,0,,1,FT-SEED-R1B-P-1988-28,0,,0,,0,,FT-SEED-R1B-P-1988-28,A,V3
grass fires,0,,1,FT-SEED-R1B-P-1938-29,0,,0,,0,,0,,FT-SEED-R1B-P-1938-29,D,V3
grave threats,0,,0,,1,FT-SEED-R1B-P-1988-21,0,,0,,0,,FT-SEED-R1B-P-1988-21,D,V2
greenhouse effect,0,,0,,1,FT-SEED-R1B-P-1988-01,0,,0,,0,,FT-SEED-R1B-P-1988-01,B,V1
greenhouse gas emissions,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-10,0,,FT-SEED-R1B-P-2015-10,B,V2
greenhouse gases,0,,0,,1,FT-SEED-R1B-P-1988-27,0,,0,,0,,FT-SEED-R1B-P-1988-27,B,V2
guilt,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-21,FT-SEED-R1B-P-2022-21,C,V1
harm future generations,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-29,FT-SEED-R1B-P-2022-29,D,V5
harm them personally,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-28,0,,FT-SEED-R1B-P-2015-28,D,V5
harmful consequences,0,,0,,1,FT-SEED-R1B-P-1988-20,0,,0,,0,,FT-SEED-R1B-P-1988-20,D,V2
heat of the irons,1,FT-SEED-R1B-P-1842-21,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-21,A,V5
heat of the men,1,FT-SEED-R1B-P-1842-20,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-20,A,V5
heat records,0,,1,FT-SEED-R1B-P-1938-27,0,,0,,0,,0,,FT-SEED-R1B-P-1938-27,A,V3
heat wave,0,,1,FT-SEED-R1B-P-1938-21,1,FT-SEED-R1B-P-1988-08,0,,0,,0,,FT-SEED-R1B-P-1938-21; FT-SEED-R1B-P-1988-08,A,V1; V3
heat wave over queensland,0,,1,FT-SEED-R1B-P-1938-20,0,,0,,0,,0,,FT-SEED-R1B-P-1938-20,A,V3
heat wave/drought occurrences,0,,0,,1,FT-SEED-R1B-P-1988-10,0,,0,,0,,FT-SEED-R1B-P-1988-10,D,V1
heat-related mortality,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-23,FT-SEED-R1B-P-2022-23,D,V1
heatwaves,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-22,FT-SEED-R1B-P-2022-22,A,V1
hopeful,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-11,FT-SEED-R1B-P-2022-11,C,V5
hopeless,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-07,FT-SEED-R1B-P-2022-07,C,V5
hottest day for ten years,0,,1,FT-SEED-R1B-P-1938-19,0,,0,,0,,0,,FT-SEED-R1B-P-1938-19,A,V3
hottest spell for years,0,,1,FT-SEED-R1B-P-1938-25,0,,0,,0,,0,,FT-SEED-R1B-P-1938-25,A,V3
hunger,0,,0,,0,,1,FT-SEED-R1B-P-0607-17,0,,0,,FT-SEED-R1B-P-0607-17,D,V2
ill health,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-26,FT-SEED-R1B-P-2022-26,D,V1
impacts of climate change,0,,0,,0,,1,FT-SEED-R1B-P-0607-15,0,,0,,FT-SEED-R1B-P-0607-15,D,V2
impending crisis,0,,0,,1,FT-SEED-R1B-P-1988-24,0,,0,,0,,FT-SEED-R1B-P-1988-24,D,V2
increase in mean temperature,0,,1,FT-SEED-R1B-P-1938-09,0,,0,,0,,0,,FT-SEED-R1B-P-1938-09,A,V1
instrumental measurements,0,,0,,1,FT-SEED-R1B-P-1988-04,0,,0,,0,,FT-SEED-R1B-P-1988-04,B,V1
irreversible and permanent loss and damage,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-20,0,,FT-SEED-R1B-P-2015-20,D,V2
loss and damage,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-14,0,,FT-SEED-R1B-P-2015-14,D,V2
major threat,0,,0,,1,FT-SEED-R1B-P-1988-19,0,,0,,0,,FT-SEED-R1B-P-1988-19,D,V2
maximum temperature,1,FT-SEED-R1B-P-1842-04,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-04,A,V1
mean temperature,1,FT-SEED-R1B-P-1842-02,1,FT-SEED-R1B-P-1938-10,0,,0,,0,,0,,FT-SEED-R1B-P-1842-02; FT-SEED-R1B-P-1938-10,A,V1
mean temperature of sea at surface,1,FT-SEED-R1B-P-1842-06,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-06,A,V1
mental health challenges,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-24,FT-SEED-R1B-P-2022-24,D,V1
meteorological journal,1,FT-SEED-R1B-P-1842-13,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-13,B,V1
meteorological observations,1,FT-SEED-R1B-P-1842-12,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-12,B,V1
meteorological stations,0,,1,FT-SEED-R1B-P-1938-12,0,,0,,0,,0,,FT-SEED-R1B-P-1938-12,B,V1
minimum temperature,1,FT-SEED-R1B-P-1842-05,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-05,A,V1
most suffocating,1,FT-SEED-R1B-P-1842-22,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-22,D,V5
non-economic losses,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-22,0,,FT-SEED-R1B-P-2015-22,D,V2
outraged,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-13,FT-SEED-R1B-P-2022-13,C,V5
personally worry,0,,0,,0,,1,FT-SEED-R1B-P-0607-22,0,,0,,FT-SEED-R1B-P-0607-22,C,V5
perspiration,1,FT-SEED-R1B-P-1842-24,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-24,D,V5
pitiless sun,0,,1,FT-SEED-R1B-P-1938-24,0,,0,,0,,0,,FT-SEED-R1B-P-1938-24,D,V3
powerlessness,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-20,FT-SEED-R1B-P-2022-20,C,V1
pre-industrial levels,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-06,0,,FT-SEED-R1B-P-2015-06,B,V2
premature deaths,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-27,FT-SEED-R1B-P-2022-27,D,V1
premature heat of the weather,1,FT-SEED-R1B-P-1842-27,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-27,A,V5
psychological distress,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-18,FT-SEED-R1B-P-2022-18,C,V1
radiation absorption coefficients,0,,1,FT-SEED-R1B-P-1938-06,0,,0,,0,,0,,FT-SEED-R1B-P-1938-06,B,V1
radiation of the heat,1,FT-SEED-R1B-P-1842-17,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-17,B,V1
rather a coincidence,0,,1,FT-SEED-R1B-P-1938-18,0,,0,,0,,0,,FT-SEED-R1B-P-1938-18,C,V1
regional heat waves,0,,0,,1,FT-SEED-R1B-P-1988-07,0,,0,,0,,FT-SEED-R1B-P-1988-07,A,V1
rising global average sea level,0,,0,,0,,1,FT-SEED-R1B-P-0607-06,0,,0,,FT-SEED-R1B-P-0607-06,D,V1
risk of conflicts,0,,0,,1,FT-SEED-R1B-P-1988-23,0,,0,,0,,FT-SEED-R1B-P-1988-23,D,V2
risk of loss and damage,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-17,0,,FT-SEED-R1B-P-2015-17,D,V2
risks and impacts,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-07,0,,FT-SEED-R1B-P-2015-07,D,V2
sad,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-08,FT-SEED-R1B-P-2022-08,C,V5
scorching westerly wind,0,,1,FT-SEED-R1B-P-1938-23,0,,0,,0,,0,,FT-SEED-R1B-P-1938-23,D,V3
serious global threat,0,,0,,0,,1,FT-SEED-R1B-P-0607-12,0,,0,,FT-SEED-R1B-P-0607-12,D,V2
serious problem,0,,0,,0,,1,FT-SEED-R1B-P-0607-24,0,,0,,FT-SEED-R1B-P-0607-24,D,V5
severe economic and social dislocation,0,,0,,1,FT-SEED-R1B-P-1988-22,0,,0,,0,,FT-SEED-R1B-P-1988-22,D,V2
sickness and mortality,1,FT-SEED-R1B-P-1842-29,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-29,D,V2
sky radiation,0,,1,FT-SEED-R1B-P-1938-08,0,,0,,0,,0,,FT-SEED-R1B-P-1938-08,B,V1
slow onset events,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-16,0,,FT-SEED-R1B-P-2015-16,D,V2
small increases in mean temperature,0,,1,FT-SEED-R1B-P-1938-16,0,,0,,0,,0,,FT-SEED-R1B-P-1938-16,A,V1
somewhat worried,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-26,1,FT-SEED-R1B-P-2022-04,FT-SEED-R1B-P-2015-26; FT-SEED-R1B-P-2022-04,C,V5
standard thermometer,1,FT-SEED-R1B-P-1842-08,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-08,A,V1
suffered more from cold than from heat,1,FT-SEED-R1B-P-1842-28,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-28,D,V1
sun's heat,1,FT-SEED-R1B-P-1842-16,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-16,A,V1
symptoms of anxiety,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-15,FT-SEED-R1B-P-2022-15,C,V5
temperature,1,FT-SEED-R1B-P-1842-01,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-01,A,V1
temperature increase,0,,0,,0,,1,FT-SEED-R1B-P-0607-05,0,,0,,FT-SEED-R1B-P-0607-05,A,V1
temperature observations,0,,1,FT-SEED-R1B-P-1938-11,0,,0,,0,,0,,FT-SEED-R1B-P-1938-11,A,V1
temperature of the air in shade,1,FT-SEED-R1B-P-1842-03,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-03,A,V1
threat of climate change,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-02,0,,FT-SEED-R1B-P-2015-02,D,V2
threatens serious negative effects,0,,0,,0,,1,FT-SEED-R1B-P-0607-30,0,,0,,FT-SEED-R1B-P-0607-30,D,V4
too much carbon dioxide is dangerous,0,,0,,1,FT-SEED-R1B-P-1988-30,0,,0,,0,,FT-SEED-R1B-P-1988-30,D,V3
unbearable heat,0,,1,FT-SEED-R1B-P-1938-30,0,,0,,0,,0,,FT-SEED-R1B-P-1938-30,D,V3
unequivocal,0,,0,,0,,1,FT-SEED-R1B-P-0607-02,0,,0,,FT-SEED-R1B-P-0607-02,B,V1
urgent global response,0,,0,,0,,1,FT-SEED-R1B-P-0607-13,0,,0,,FT-SEED-R1B-P-0607-13,D,V2
urgent threat,0,,0,,0,,1,FT-SEED-R1B-P-0607-26,0,,0,,FT-SEED-R1B-P-0607-26,D,V5
very serious problem,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-27,0,,FT-SEED-R1B-P-2015-27,D,V5
very serious threat,0,,0,,0,,0,,0,,1,FT-SEED-R1B-P-2022-28,FT-SEED-R1B-P-2022-28,D,V5
very worried,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-25,1,FT-SEED-R1B-P-2022-03,FT-SEED-R1B-P-2015-25; FT-SEED-R1B-P-2022-03,C,V5
vulnerability,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-12,0,,FT-SEED-R1B-P-2015-12,D,V2
vulnerable groups,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-13,0,,FT-SEED-R1B-P-2015-13,D,V2
warm air,0,,0,,1,FT-SEED-R1B-P-1988-14,0,,0,,0,,FT-SEED-R1B-P-1988-14,A,V1
warming of the climate system,0,,0,,0,,1,FT-SEED-R1B-P-0607-01,0,,0,,FT-SEED-R1B-P-0607-01,A,V1
water shortages,0,,0,,0,,1,FT-SEED-R1B-P-0607-18,0,,0,,FT-SEED-R1B-P-0607-18,D,V2
water vapour,0,,1,FT-SEED-R1B-P-1938-07,0,,0,,0,,0,,FT-SEED-R1B-P-1938-07,B,V1
we are nature defending itself,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-30,0,,FT-SEED-R1B-P-2015-30,C,V4
weather,1,FT-SEED-R1B-P-1842-14,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-14,B,V1
weather is just bearable,0,,1,FT-SEED-R1B-P-1938-26,0,,0,,0,,0,,FT-SEED-R1B-P-1938-26,C,V3
well below 2°c above pre-industrial levels,0,,0,,0,,0,,1,FT-SEED-R1B-P-2015-04,0,,FT-SEED-R1B-P-2015-04,A,V2
wet bulb thermometer,1,FT-SEED-R1B-P-1842-11,0,,0,,0,,0,,0,,FT-SEED-R1B-P-1842-11,A,V1
widespread melting of snow and ice,0,,0,,0,,1,FT-SEED-R1B-P-0607-07,0,,0,,FT-SEED-R1B-P-0607-07,D,V1
world temperatures,0,,1,FT-SEED-R1B-P-1938-13,0,,0,,0,,0,,FT-SEED-R1B-P-1938-13,A,V1
worry a great deal,0,,0,,0,,1,FT-SEED-R1B-P-0607-23,0,,0,,FT-SEED-R1B-P-0607-23,C,V5
worst impacts,0,,0,,0,,1,FT-SEED-R1B-P-0607-20,0,,0,,FT-SEED-R1B-P-0607-20,D,V2
