candidate_id,anchor,priority_rank,surface_form,normalized_concept,lexical_family,layer,primary_voice,expression_mode,candidate_provenance,search_primary_source,search_query,search_query_type,search_status,search_total_results,search_unique_results_if_available,search_strict_window_results,search_contextual_window_results,search_retrieval_date,search_api_or_interface,search_exactness,search_secondary_source,search_secondary_total_results,search_notes
FT-SEED-R1B-P-1842-11,1842,11,wet bulb thermometer,local / instrumental temperature,temperature_threshold,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-11; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""wet bulb thermometer"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,7,7,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-12,1842,12,meteorological observations,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-12; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""meteorological observations"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,1458,1458,14,94,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-13,1842,13,meteorological journal,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-13; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""meteorological journal"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,411,411,3,19,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-14,1842,14,weather,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-14; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""weather"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,67834,67834,18,123,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-15,1842,15,climate,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-15; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""climate"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,76386,76386,21,140,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,5536434,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1842-16,1842,16,sun's heat,physical heat source / state,heat,A,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-16; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""sun's heat"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,42,42,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-17,1842,17,radiation of the heat,physical heat source / state,heat,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-17; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""radiation of the heat"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,1,1,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-18,1842,18,changes of temperature,local / instrumental temperature,temperature_threshold,A,V2,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-18; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""changes of temperature"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,75,75,0,4,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,12037,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1842-19,1842,19,excessive heat,extreme-heat hazard,heat,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-19; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""excessive heat"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,165,165,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-20,1842,20,heat of the men,embodied heat exposure,heat,A,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-20; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""heat of the men"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-21,1842,21,heat of the irons,physical heat source / state,heat,A,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-21; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""heat of the irons"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-22,1842,22,most suffocating,generic damage,harm_loss_consequences,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-22; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""most suffocating"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-23,1842,23,faint away,generic damage,harm_loss_consequences,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-23; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""faint away"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,2,2,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-24,1842,24,perspiration,generic damage,harm_loss_consequences,D,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-24; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""perspiration"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,551,551,0,2,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-25,1842,25,depressing effect,historical depressing effect,distress_depression,C,V5,E3,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-25; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""depressing effect"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,62,62,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-26,1842,26,complain of the heat,embodied heat exposure,heat,C,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-26; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""complain of the heat"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,9,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1842-27,1842,27,premature heat of the weather,physical heat source / state,heat,A,V5,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-27; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""premature heat of the weather"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-28,1842,28,suffered more from cold than from heat,physical heat source / state,heat,D,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-28; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""suffered more from cold than from heat"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-29,1842,29,sickness and mortality,mortality,harm_loss_consequences,D,V2,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-29; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""sickness and mortality"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,73,73,0,18,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1842-30,1842,30,alarm to the public,public alarm,concern_alarm,C,V3,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-30; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""alarm to the public"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,3,3,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,110,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1938-01,1938,1,artificial production of carbon dioxide,anthropogenic carbon-dioxide production,carbon_greenhouse,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-01; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""artificial production of carbon dioxide"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_ZERO,0,0,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,270,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1938-02,1938,2,carbon dioxide,atmospheric carbon dioxide,carbon_greenhouse,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1938-02; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""carbon dioxide"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,10042,10042,7,29,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,1319347,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1938-03,1938,3,fuel combustion,anthropogenic carbon-dioxide production,carbon_greenhouse,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-03; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""fuel combustion"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,660,660,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
FT-SEED-R1B-P-1938-04,1938,4,air,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-04; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""air"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,406830,406830,1800,8904,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,8872588,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1938-05,1938,5,atmosphere,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-05; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""atmosphere"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,41908,41908,35,186,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,3201156,Metadata text-item count; not a full-text lexical frequency. Secondary metric: Scholarly work discoverability count over OpenAlex search fields; not a corpus word frequency.
FT-SEED-R1B-P-1938-06,1938,6,radiation absorption coefficients,historical climate / climatological condition,climate,B,V1,E5,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.8; project candidate FT-SEED-R1B-P-1938-06; original visible ID not available",INTERNET_ARCHIVE_METADATA_TEXT_ITEM_COUNT,"""radiation absorption coefficients"" AND mediatype:texts",PHRASE_METADATA_SEARCH,COMPLETED_NONZERO,20,20,0,0,2026-08-26,https://archive.org/advancedsearch.php,EXACT_PHRASE,OPENALEX_WORK_COUNT,,Metadata text-item count; not a full-text lexical frequency. Secondary metric: NOT_RUN_OPENALEX_DAILY_BUDGET_EXHAUSTED: shared provider response retained; no count fabricated.
