Candidate ID,Anchor,Rank,Surface Form,Normalised Concept,Lexical Family,Dictionary Status,Direct Headword Exists,Primary Source,Secondary Source,Historical / Domain Source,Concise Definition Paraphrase,Historically Relevant Sense,Modern Sense,Anchor Sense Match,First Attestation,Polysemy Warning,Source Citation / Link,Access Date,Candidate Provenance
FT-SEED-R1B-P-1842-11,1842,11,wet bulb thermometer,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: thermometer.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/wet%20bulb%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-11; original visible ID not available"
FT-SEED-R1B-P-1842-12,1842,12,meteorological observations,historical climate / climatological condition,climate,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: observations.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.","Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/meteorological%20observations; https://websters1913.timcieplowski.com/word/observations/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-12; original visible ID not available"
FT-SEED-R1B-P-1842-13,1842,13,meteorological journal,historical climate / climatological condition,climate,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: journal.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.","Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/meteorological%20journal; https://websters1913.timcieplowski.com/word/journal/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-13; original visible ID not available"
FT-SEED-R1B-P-1842-14,1842,14,weather,historical climate / climatological condition,climate,DIRECT_HEADWORD,YES,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: weather.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.","Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/weather/; https://api.dictionaryapi.dev/api/v2/entries/en/weather,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-14; original visible ID not available"
FT-SEED-R1B-P-1842-15,1842,15,climate,historical climate / climatological condition,climate,DIRECT_HEADWORD,YES,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: climate.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A regional or prevailing atmospheric condition understood through meteorological observation, not the modern issue label 'climate change'.",Modern climate commonly denotes long-term statistical weather conditions or the coupled climate system; it does not by itself mean the modern issue label 'climate change'.,PARTIAL,NOT_LOCATED,Historical meteorological climate and modern climate-system/change senses overlap only partly; business/social metaphor senses are excluded.,https://websters1913.timcieplowski.com/word/climate/; https://api.dictionaryapi.dev/api/v2/entries/en/climate,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-15; original visible ID not available"
FT-SEED-R1B-P-1842-16,1842,16,sun's heat,physical heat source / state,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: heat.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.","Physical or embodied heat in a local meteorological, material, or bodily-exposure sense.","Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,"Heat may refer to cooking, machinery, emotion, contest, or political metaphor; those senses are not automatically relevant.","Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/sun%27s%20heat; https://websters1913.timcieplowski.com/word/heat/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-16; original visible ID not available"
FT-SEED-R1B-P-1842-17,1842,17,radiation of the heat,physical heat source / state,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: heat.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.","Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/radiation%20of%20the%20heat; https://websters1913.timcieplowski.com/word/heat/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-17; original visible ID not available"
FT-SEED-R1B-P-1842-18,1842,18,changes of temperature,local / instrumental temperature,temperature_threshold,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/changes%20of%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-18; original visible ID not available"
FT-SEED-R1B-P-1842-19,1842,19,excessive heat,extreme-heat hazard,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: heat.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Extreme heat framed as a hazard with health or social consequences; the candidate is interpreted in its documented anchor and voice context.,"Physical or embodied heat in a local meteorological, material, or bodily-exposure sense.",Extreme heat framed as a hazard with health or social consequences; the candidate is interpreted in its documented anchor and voice context.,STRONG,NOT_LOCATED,"Heat may refer to cooking, machinery, emotion, contest, or political metaphor; those senses are not automatically relevant.","Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/excessive%20heat; https://websters1913.timcieplowski.com/word/heat/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-19; original visible ID not available"
FT-SEED-R1B-P-1842-20,1842,20,heat of the men,embodied heat exposure,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: men.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat experienced by bodies in occupational, domestic, or environmental settings; the candidate is interpreted in its documented anchor and voice context.","Physical or embodied heat in a local meteorological, material, or bodily-exposure sense.","Heat experienced by bodies in occupational, domestic, or environmental settings; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,"Heat may refer to cooking, machinery, emotion, contest, or political metaphor; those senses are not automatically relevant.","Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/heat%20of%20the%20men; https://websters1913.timcieplowski.com/word/men/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.7; project candidate FT-SEED-R1B-P-1842-20; original visible ID not available"
FT-SEED-R1B-P-1842-21,1842,21,heat of the irons,physical heat source / state,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: irons.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.","Physical or embodied heat in a local meteorological, material, or bodily-exposure sense.","Heat as a physical source, state, or thermal condition; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,"Heat may refer to cooking, machinery, emotion, contest, or political metaphor; those senses are not automatically relevant.","Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/heat%20of%20the%20irons; https://websters1913.timcieplowski.com/word/irons/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-21; original visible ID not available"
FT-SEED-R1B-P-1842-22,1842,22,most suffocating,generic damage,harm_loss_consequences,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: suffocating.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.","Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/most%20suffocating; https://websters1913.timcieplowski.com/word/suffocating/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-22; original visible ID not available"
FT-SEED-R1B-P-1842-23,1842,23,faint away,generic damage,harm_loss_consequences,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: away.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.","Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/faint%20away; https://websters1913.timcieplowski.com/word/away/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-23; original visible ID not available"
FT-SEED-R1B-P-1842-24,1842,24,perspiration,generic damage,harm_loss_consequences,DIRECT_HEADWORD,YES,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: perspiration.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.","Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/perspiration/; https://api.dictionaryapi.dev/api/v2/entries/en/perspiration,2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-24; original visible ID not available"
FT-SEED-R1B-P-1842-25,1842,25,depressing effect,historical depressing effect,distress_depression,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: effect.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Historical bodily or energetic depressing effect; false friend with modern clinical depression; the candidate is interpreted in its documented anchor and voice context.,A bodily or energetic lowering effect associated with oppressive heat; affect-adjacent but not a modern clinical-depression diagnosis.,Contemporary readers may hear a mood-lowering or clinical-psychology association; that reading must not be projected onto the 1842 bodily/energetic use.,DIFFERENT,NOT_LOCATED,'Depressing' historically permits lowering or weakening senses that differ from modern clinical depression.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/depressing%20effect; https://websters1913.timcieplowski.com/word/effect/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-25; original visible ID not available"
FT-SEED-R1B-P-1842-26,1842,26,complain of the heat,embodied heat exposure,heat,NO_STANDALONE_HEADWORD,NO,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: heat.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Heat experienced by bodies in occupational, domestic, or environmental settings; the candidate is interpreted in its documented anchor and voice context.",The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,"Heat experienced by bodies in occupational, domestic, or environmental settings; the candidate is interpreted in its documented anchor and voice context.",STRONG,NOT_LOCATED,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=6; https://api.dictionaryapi.dev/api/v2/entries/en/complain%20of%20the%20heat; https://websters1913.timcieplowski.com/word/heat/",2026-08-26,"RECONSTRUCTED_FROM_REPORT; Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf; p.6; project candidate FT-SEED-R1B-P-1842-26; original visible ID not available"
