dictionary_form_id,normalized_form,representative_surface_form,candidate_ids,candidate_count,dictionary_status,dictionary_primary_source,dictionary_secondary_source,dictionary_historical_source,dictionary_definition_paraphrase,dictionary_historical_sense,dictionary_first_attestation_if_available,dictionary_anchor_sense_match,dictionary_polysemy_note,dictionary_source_url_or_id,dictionary_access_date,dictionaryapi_http_status,dictionaryapi_raw_response_path,dictionaryapi_raw_sha256,webster1913_component_headword,webster1913_http_status,webster1913_raw_response_path,webster1913_raw_sha256,dictionary_provenance_note
FT-DICT-A4E01F40F3FE3F,anthropogenic ghg emissions,anthropogenic GHG emissions,FT-SEED-R1B-P-0607-09,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: emissions.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Human-caused releases of greenhouse gases into the atmosphere.,"A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/anthropogenic%20GHG%20emissions; https://websters1913.timcieplowski.com/word/emissions/,2026-08-26,0,,,emissions,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-591E7DE9D81F90,anxiety and stress,anxiety and stress,FT-SEED-R1B-P-2022-25,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: stress.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Anxiety operationalised as a symptom or health measure; the candidate is interpreted in its documented anchor and voice context.,The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=12; https://api.dictionaryapi.dev/api/v2/entries/en/anxiety%20and%20stress; https://websters1913.timcieplowski.com/word/stress/",2026-08-26,0,,,stress,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-FAEF616DF2EC24,anxious,anxious,FT-SEED-R1B-P-2022-06,1,DIRECT_HEADWORD,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: anxious.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Anxious feeling directly expressed or endorsed by a participant; the candidate is interpreted in its documented anchor and voice context.,The candidate's affective or evaluative sense as used by the documented speaker/instrument/research voice at the anchor.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://websters1913.timcieplowski.com/word/anxious/; https://api.dictionaryapi.dev/api/v2/entries/en/anxious,2026-08-26,0,data/fear-temperature/priority180/dictionary/raw/dictionaryapi/65b75f0760d06cb4a6e5c2107be2f042d0a00beeb6a2518e52ea09df57f1b4ca.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,anxious,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-3036331B910B28,artificial production of carbon dioxide,artificial production of carbon dioxide,FT-SEED-R1B-P-1938-01,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: dioxide.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Human production of carbon dioxide as a climatic cause; the candidate is interpreted in its documented anchor and voice context.,"A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/artificial%20production%20of%20carbon%20dioxide; https://websters1913.timcieplowski.com/word/dioxide/,2026-08-26,0,,,dioxide,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-BFD5A8ED7357EC,atmosphere,atmosphere,FT-SEED-R1B-P-1938-05,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: atmosphere.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/atmosphere; https://websters1913.timcieplowski.com/word/atmosphere/,2026-08-26,0,,,atmosphere,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-C0D51ADC7DE8C3,atmospheric pollution,atmospheric pollution,FT-SEED-R1B-P-1988-26,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: pollution.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=9; https://api.dictionaryapi.dev/api/v2/entries/en/atmospheric%20pollution; https://websters1913.timcieplowski.com/word/pollution/",2026-08-26,0,,,pollution,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-F000E5F4575434,attached thermometer,attached thermometer,FT-SEED-R1B-P-1842-09,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: thermometer.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/attached%20thermometer; https://websters1913.timcieplowski.com/word/thermometer/",2026-08-26,0,,,thermometer,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-84EE320D376228,average rate,average rate,FT-SEED-R1B-P-1938-15,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: rate.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=8; https://api.dictionaryapi.dev/api/v2/entries/en/average%20rate; https://websters1913.timcieplowski.com/word/rate/",2026-08-26,0,,,rate,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-5F7F156084E7A3,be worried. be very worried.,Be Worried. Be Very Worried.,FT-SEED-R1B-P-0607-21,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: worried.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Worry explicitly prescribed to an audience by a communicator; the candidate is interpreted in its documented anchor and voice context.,A mediated-public imperative prescribing worry to readers; it does not establish that readers experienced the prescribed emotion.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,Imperative wording must be separated from audience reception and participant-generated affect.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=10; https://api.dictionaryapi.dev/api/v2/entries/en/Be%20Worried.%20Be%20Very%20Worried.; https://websters1913.timcieplowski.com/word/worried/",2026-08-26,0,,,worried,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-DDF74783A6568C,carbon dioxide,carbon dioxide,FT-SEED-R1B-P-1938-02,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: dioxide.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Carbon dioxide as an atmospheric constituent; the candidate is interpreted in its documented anchor and voice context.,"A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/carbon%20dioxide; https://websters1913.timcieplowski.com/word/dioxide/,2026-08-26,0,,,dioxide,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-EFDB35169612A3,cause-and-effect relationship,cause-and-effect relationship,FT-SEED-R1B-P-1988-05,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: relationship.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=9; https://api.dictionaryapi.dev/api/v2/entries/en/cause-and-effect%20relationship; https://websters1913.timcieplowski.com/word/relationship/",2026-08-26,0,,,relationship,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-835D1B2C62F606,changed climatic extremes,changed climatic extremes,FT-SEED-R1B-P-1988-18,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: extremes.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Generic material, ecological, or social damage; the candidate is interpreted in its documented anchor and voice context.","A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=9; https://api.dictionaryapi.dev/api/v2/entries/en/changed%20climatic%20extremes; https://websters1913.timcieplowski.com/word/extremes/",2026-08-26,0,,,extremes,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-69A8DD45B4175B,changes of temperature,changes of temperature,FT-SEED-R1B-P-1842-18,1,NO_STANDALONE_HEADWORD,Component lexical analysis plus anchor-source contextual meaning,Component headword checked: temperature.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A local or instrument-specific temperature reading; the candidate is interpreted in its documented anchor and voice context.,"A physical temperature, warming, heat, or measurement sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf#page=7; https://api.dictionaryapi.dev/api/v2/entries/en/changes%20of%20temperature; https://websters1913.timcieplowski.com/word/temperature/",2026-08-26,0,,,temperature,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-57874667F4B55E,changing atmosphere,changing atmosphere,FT-SEED-R1B-P-1988-15,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: atmosphere.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Atmospheric change framed as a climatic or institutional problem; the candidate is interpreted in its documented anchor and voice context.,"A climatic, atmospheric, meteorological, or causal-science sense in the documented anchor context.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/changing%20atmosphere; https://websters1913.timcieplowski.com/word/atmosphere/,2026-08-26,0,,,atmosphere,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-10DB699812D02C,climate,climate,FT-SEED-R1B-P-1842-15,1,DIRECT_HEADWORD,Webster's Revised Unabridged Dictionary (1913 public-domain headword index),Component headword checked: climate.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,"Climate as a historical, geographical, seasonal, or climatological condition; the candidate is interpreted in its documented anchor and voice context.","A regional or prevailing atmospheric condition understood through meteorological observation, not the modern issue label 'climate change'.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,PARTIAL,Historical meteorological climate and modern climate-system/change senses overlap only partly; business/social metaphor senses are excluded.,https://websters1913.timcieplowski.com/word/climate/; https://api.dictionaryapi.dev/api/v2/entries/en/climate,2026-08-26,0,data/fear-temperature/priority180/dictionary/raw/dictionaryapi/558a85be3893e97665aaf55c047baf3b9efd63ec5f6ee7a0f1c5a779763070cd.json,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,climate,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-A1AE67FB4A7B32,climate anxiety,climate anxiety,FT-SEED-R1B-P-2022-16,1,TECHNICAL_GLOSSARY,American Psychological Association / ecoAmerica mental-health terminology,Component headword checked: anxiety.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,An apprehensive or distress-related response associated with climate change; in the 2022 evidence it is primarily a research construct unless participant self-use is separately shown.,A 2022 research construct for anxiety or distress related to climate change; lay self-labelling requires independent source evidence.,NOT_AVAILABLE_IN_ACCESSED_SOURCES,PARTIAL,"Researcher-coded construct, instrument wording, symptoms, and participant self-use must remain distinct.",https://www.apa.org/news/press/releases/2021/11/mental-health-effects-climate-change; https://api.dictionaryapi.dev/api/v2/entries/en/climate%20anxiety; https://websters1913.timcieplowski.com/word/anxiety/,2026-08-26,0,,,anxiety,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-F28D567CF5453B,climate change,climate change,FT-SEED-R1B-P-0607-10; FT-SEED-R1B-P-2015-01; FT-SEED-R1B-P-2022-01,3,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: change.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,A persistent change in the state or variability of climate; institutional definitions differ on whether human attribution is required.,"The established modern issue label for sustained climatic change, used in institutional, scientific, or public contexts depending on voice.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The modern issue label must still be distinguished from generic change and historical climatic variability.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/climate%20change; https://websters1913.timcieplowski.com/word/change/,2026-08-26,0,,,change,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
FT-DICT-3D5247D0EBAD31,climate crisis,climate crisis,FT-SEED-R1B-P-2022-30,1,TECHNICAL_GLOSSARY,IPCC climate-science glossary / assessment terminology,Component headword checked: crisis.,Anchor-period research source/context; Webster 1913 stable component URL recorded but automated page retrieval was unavailable,Climate crisis used as an established issue label; the candidate is interpreted in its documented anchor and voice context.,"A threat, risk, harm, severity, or consequence sense in the documented source; it is not automatically an emotion.",NOT_AVAILABLE_IN_ACCESSED_SOURCES,STRONG,The surface form may realize multiple senses; candidate meaning remains anchored to the report-visible source context.,https://www.ipcc.ch/site/assets/uploads/2018/02/WGIIAR5-AnnexII_FINAL.pdf; https://api.dictionaryapi.dev/api/v2/entries/en/climate%20crisis; https://websters1913.timcieplowski.com/word/crisis/,2026-08-26,0,,,crisis,0,,,No paywall or authentication was bypassed. No long proprietary definition is reproduced.
