query_id,anchor,surface_form,classification,compatibility_status,execution_eligible,reason,interpretation_class,source_report,source_page,provenance_status
FT-Q-V01-013,1842,meteorological journal,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-014,1842,weather,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-015,1842,climate,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-016,1842,sun's heat,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-017,1842,radiation of the heat,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",6,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-018,1842,changes of temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-019,1842,excessive heat,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-020,1842,heat of the men,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-021,1938,artificial production of carbon dioxide,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-022,1938,carbon dioxide,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-023,1938,fuel combustion,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-024,1938,air,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-025,1938,atmosphere,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-026,1938,radiation absorption coefficients,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-027,1938,water vapour,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-028,1938,sky radiation,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-029,1938,increase in mean temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-030,1938,mean temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-031,1938,temperature observations,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-032,1938,meteorological stations,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",7,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-033,1938,world temperatures,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-034,1938,actually increased,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-035,1938,average rate,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-036,1938,small increases in mean temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-037,1938,deadly glaciers,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-038,1938,rather a coincidence,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-039,1938,Hottest Day for Ten Years,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-040,1938,Heat Wave Over Queensland,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",8,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-041,1988,greenhouse effect,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-042,1988,global warming,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-043,1988,earth is warmer,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-044,1988,instrumental measurements,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-045,1988,cause-and-effect relationship,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-046,1988,global temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-047,1988,regional heat waves,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-048,1988,heat wave,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-049,1988,drought,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-050,1988,heat wave/drought occurrences,EXECUTABLE_CORPUS_ONLY,STRUCTURALLY_UNSUPPORTED,False,Slash construction is not a defensible isolated Ngram phrase.,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-051,1988,extreme events,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-052,1988,global climate models,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-053,1988,global observations,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-054,1988,warm air,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-055,1988,changing atmosphere,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-056,1988,global security,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-057,1988,climate warming,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-058,1988,changed climatic extremes,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-059,1988,major threat,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-060,1988,harmful consequences,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",9,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-061,2006–2007,warming of the climate system,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-062,2006–2007,unequivocal,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-063,2006–2007,global average air and ocean temperatures,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-064,2006–2007,global surface temperature,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-065,2006–2007,temperature increase,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-066,2006–2007,rising global average sea level,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-067,2006–2007,widespread melting of snow and ice,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-068,2006–2007,anthropogenic CO₂,EXECUTABLE_CORPUS_ONLY,NUMERIC_OR_SYMBOLIC,False,Degree/subscript notation is not queried as an isolated public-interface Ngram.,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-069,2006–2007,anthropogenic GHG emissions,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-070,2006–2007,climate change,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-071,2006–2007,global warming,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CLIMATE_SPECIFIC,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-072,2006–2007,serious global threat,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-073,2006–2007,urgent global response,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-074,2006–2007,costs and risks of climate change,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-075,2006–2007,impacts of climate change,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-076,2006–2007,damage,BACKGROUND_AMBIGUOUS,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,BACKGROUND_AMBIGUOUS,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-077,2006–2007,hunger,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
FT-Q-V01-078,2006–2007,water shortages,EXECUTABLE_NGRAM,COMPATIBLE,True,Compatible exact string/phrase for unsmoothed public Ngram retrieval (current interface supports up to seven words).,CONTEXT_REQUIRED,"Fear of Temperature_ Stratified Lexical Expansion, Voice Mapping, and Semantic-Relational Pre-Valida.pdf",10,RECONSTRUCTED_FROM_REPORT
